"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.137715",-0.0990865285245968,-0.0990865285245968,-0.0990865285245968,-0.0990865285245968,-0.0990865285245968,-0.0990865285245968,-0.0990865285245968,0.457704219527115,-0.0990865285245968,0.533161065718852,-0.0990865285245968,-0.0990865285245968,6
"dv.137951",-0.429288443985776,-0.429288443985776,-0.429288443985776,-0.429288443985776,0.221958687473706,0.487296131818308,-0.429288443985776,0.664809357407417,-0.429288443985776,0.807159549126879,0.203744936416009,0.190762001672335,6
"dv.138093",-0.0616770519325422,0.678447571257963,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,6
"dv.138240",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.138541",-0.172977918631195,-0.172977918631195,-0.172977918631195,-0.172977918631195,-0.172977918631195,-0.172977918631195,-0.172977918631195,-0.172977918631195,0.649673278883243,-0.172977918631195,0.46005546177059,0.447072527026916,6
"dv.13860",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.138674",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.138676",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.138763",-0.267516828490832,-0.267516828490832,-0.267516828490832,-0.267516828490832,0.38373030296865,-0.267516828490832,0.440570020263127,-0.267516828490832,0.318070158540479,0.364730765752616,0.365516551910952,-0.267516828490832,6
"dv.138924",0.636712897068775,-0.155130603829567,-0.155130603829567,0.357802393175187,-0.155130603829567,-0.155130603829567,-0.155130603829567,0.401660144222145,-0.155130603829567,-0.155130603829567,-0.155130603829567,-0.155130603829567,6
"dv.13901",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.13943",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.139701",-0.271949708688696,0.98404563288887,-0.271949708688696,0.449725913533766,-0.271949708688696,0.381528237532176,-0.271949708688696,-0.271949708688696,-0.271949708688696,0.360297885554753,-0.271949708688696,-0.271949708688696,6
"dv.139851",-0.121307048159685,-0.121307048159685,-0.121307048159685,-0.121307048159685,-0.121307048159685,-0.121307048159685,-0.121307048159685,-0.121307048159685,0.701344149354752,-0.121307048159685,0.5117263322421,-0.121307048159685,6
"dv.139996",-0.166231181161948,-0.166231181161948,-0.166231181161948,-0.166231181161948,-0.166231181161948,0.297804946513031,0.541855667592012,-0.166231181161948,0.656420016352489,-0.166231181161948,-0.166231181161948,-0.166231181161948,6
"dv.140056",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.140069",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.140578",-0.104429426728435,-0.104429426728435,0.528673248354672,-0.104429426728435,-0.104429426728435,-0.104429426728435,-0.104429426728435,-0.104429426728435,-0.104429426728435,-0.104429426728435,-0.104429426728435,0.515621018929676,6
"dv.140870",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.141645",-0.171071228034296,-0.171071228034296,-0.171071228034296,-0.171071228034296,-0.171071228034296,-0.171071228034296,0.69195937992376,0.385719520017416,-0.171071228034296,-0.171071228034296,0.461962152367489,-0.171071228034296,6
"dv.141961",-0.0955029726739887,-0.0955029726739887,0.537599702409118,0.417430024330767,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,-0.0955029726739887,6
